"id","birth_year","eye_color","films","gender","hair_color","height","homeworld","mass","name","skin_color","species","starships","vehicles"
1,"19BBY",blue,"A New Hope, The Empire Strikes Back, Return of the Jedi, Revenge of the Sith",male,blond,"172",Tatooine,"77",Luke Skywalker,fair,"","X-wing, Imperial shuttle","Snowspeeder, Imperial Speeder Bike"
2,"112BBY",yellow,"A New Hope, The Empire Strikes Back, Return of the Jedi, The Phantom Menace, Attack of the Clones, Revenge of the Sith",n/a,n/a,"167",Tatooine,"75",C-3PO,gold,Droid,"",""
3,"33BBY",red,"A New Hope, The Empire Strikes Back, Return of the Jedi, The Phantom Menace, Attack of the Clones, Revenge of the Sith",n/a,n/a,"96",Naboo,"32",R2-D2,"white, blue",Droid,"",""
4,"41.9BBY",yellow,"A New Hope, The Empire Strikes Back, Return of the Jedi, Revenge of the Sith",male,none,"202",Tatooine,"136",Darth Vader,white,"",TIE Advanced x1,""
5,"19BBY",brown,"A New Hope, The Empire Strikes Back, Return of the Jedi, Revenge of the Sith",female,brown,"150",Alderaan,"49",Leia Organa,light,"","",Imperial Speeder Bike
6,"52BBY",blue,"A New Hope, Attack of the Clones, Revenge of the Sith",male,"brown, grey","178",Tatooine,"120",Owen Lars,light,"","",""
7,"47BBY",blue,"A New Hope, Attack of the Clones, Revenge of the Sith",female,brown,"165",Tatooine,"75",Beru Whitesun lars,light,"","",""
8,unknown,red,A New Hope,n/a,n/a,"97",Tatooine,"32",R5-D4,"white, red",Droid,"",""
9,"24BBY",brown,A New Hope,male,black,"183",Tatooine,"84",Biggs Darklighter,light,"",X-wing,""
10,"57BBY",blue-gray,"A New Hope, The Empire Strikes Back, Return of the Jedi, The Phantom Menace, Attack of the Clones, Revenge of the Sith",male,"auburn, white","182",Stewjon,"77",Obi-Wan Kenobi,fair,"","Jedi starfighter, Trade Federation cruiser, Naboo star skiff, Jedi Interceptor, Belbullab-22 starfighter",Tribubble bongo
11,"41.9BBY",blue,"The Phantom Menace, Attack of the Clones, Revenge of the Sith",male,blond,"188",Tatooine,"84",Anakin Skywalker,fair,"","Naboo fighter, Trade Federation cruiser, Jedi Interceptor","Zephyr-G swoop bike, XJ-6 airspeeder"
12,"64BBY",blue,"A New Hope, Revenge of the Sith",male,"auburn, grey","180",Eriadu,unknown,Wilhuff Tarkin,fair,"","",""
13,"200BBY",blue,"A New Hope, The Empire Strikes Back, Return of the Jedi, Revenge of the Sith",male,brown,"228",Kashyyyk,"112",Chewbacca,unknown,Wookie,"Millennium Falcon, Imperial shuttle",AT-ST
14,"29BBY",brown,"A New Hope, The Empire Strikes Back, Return of the Jedi",male,brown,"180",Corellia,"80",Han Solo,fair,"","Millennium Falcon, Imperial shuttle",""
15,"44BBY",black,A New Hope,male,n/a,"173",Rodia,"74",Greedo,green,Rodian,"",""
16,"600BBY",orange,"A New Hope, Return of the Jedi, The Phantom Menace",hermaphrodite,n/a,"175",Nal Hutta,"1,358",Jabba Desilijic Tiure,"green-tan, brown",Hutt,"",""
17,,,,,,,,,,,,,
18,"21BBY",hazel,"A New Hope, The Empire Strikes Back, Return of the Jedi",male,brown,"170",Corellia,"77",Wedge Antilles,fair,"",X-wing,Snowspeeder
19,unknown,blue,A New Hope,male,brown,"180",Bestine IV,"110",Jek Tono Porkins,fair,"",X-wing,""
20,"896BBY",brown,"The Empire Strikes Back, Return of the Jedi, The Phantom Menace, Attack of the Clones, Revenge of the Sith",male,white,"66",unknown,"17",Yoda,green,Yoda's species,"",""
